id	accession	length	mature_length	signal_peptide_end	has_signal_peptide	n_cysteines	mature_n_cysteines	organism	taxonomy_id	protein_name	gene_name	interpro_domains
sp|C0HKA8|BRKP4_PHYNA	C0HKA8	9	9	0	False	0	0.0	Physalaemus nattereri	248869	[Thr6]-bradykinin		
sp|C0HKA9|BRKP5_PHYNA	C0HKA9	9	9	0	False	0	0.0	Physalaemus nattereri	248869	[Val1,Thr6]-bradykinin		
sp|C0HKG4|TX4A_CHEPU	C0HKG4	20	20	0	False	4	4.0	Cheiracanthium punctorium	682790	Toxin CpTx-4a		
sp|C0HKK6|TU3A_UNEBI	C0HKK6	17	17	0	False	6	6.0	Unedogemmula bisaya	746885	Turripeptide ubi3a		
sp|C0HKQ9|PSTN_POLPI	C0HKQ9	21	21	0	False	2	2.0	Polybia paulista	291283	Paulistine		
sp|C0HKY2|CT10A_CONAO	C0HKY2	11	11	0	False	4	4.0	Conus araneosus	101286	Conotoxin ar5a		
sp|C0HKY3|CT10B_CONAO	C0HKY3	11	11	0	False	4	4.0	Conus araneosus	101286	Conotoxin ar5b		
sp|C0HKY4|CT10C_CONAO	C0HKY4	11	11	0	False	4	4.0	Conus araneosus	101286	Conotoxin ar5c		
sp|C0HKY5|CT5D_CONAO	C0HKY5	10	10	0	False	4	4.0	Conus araneosus	101286	Conotoxin ar5d		
sp|C0HKY6|CM3B_CONAO	C0HKY6	16	16	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3b		
sp|C0HKY7|CM3C_CONAO	C0HKY7	17	17	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3c		
sp|C0HKY8|M3D_CONAO	C0HKY8	16	16	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3d		
sp|C0HKY9|M3E_CONAO	C0HKY9	16	16	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3e		
sp|C0HKZ0|M3F_CONAO	C0HKZ0	16	16	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3f		
sp|C0HKZ1|CM3G_CONAO	C0HKZ1	16	16	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3g		
sp|C0HKZ3|M3I_CONAO	C0HKZ3	16	16	0	False	6	6.0	Conus araneosus	101286	Conotoxin ar3i		
sp|C0HL88|SL_CROVE	C0HL88	12	12	0	False	0	0.0	Crotalus vegrandis	184545	Snaclec uracolectin		
sp|C0HL97|VM3_CROVE	C0HL97	20	20	0	False	0	0.0	Crotalus vegrandis	184545	Zinc metalloproteinase-disintegrin-like uracoina-1		
sp|C0HLK1|CA1B_CONBR	C0HLK1	13	13	0	False	4	4.0	Conus brunneus	101289	Alpha-conotoxin BruIB		
sp|C0HLM2|CA1C_CONPU	C0HLM2	14	14	0	False	4	4.0	Conus purpurascens	41690	Alpha-conotoxin PIC		
sp|C0HLT7|BRK_POLOC	C0HLT7	9	9	0	False	0	0.0	Polybia occidentalis	91432	Thr6-bradykinin		
sp|C0HLZ5|TSCO1_ANDAU	C0HLZ5	4	4	0	False	0	0.0	Androctonus australis	6858	Tetrascorpin-1		
sp|C0HLZ7|DIRK_BUTOC	C0HLZ7	17	17	0	False	2	2.0	Buthus occitanus tunetanus	6871	RK peptide		
sp|D6C4J2|CLEB_CONCL	D6C4J2	20	20	0	False	4	4.0	Californiconus californicus	1736779	Conotoxin Cl14b		
sp|P01022|BPPAB_BOTJA	P01022	10	10	0	False	0	0.0	Bothrops jararaca	8724	Bradykinin-potentiating peptide 10b		
sp|P01500|APAM_APIME	P01500	19	-8	27	True	4		Apis mellifera	7460	Apamin		IPR035361
sp|P01514|MAST_VESLE	P01514	14	14	0	False	0	0.0	Vespula lewisii	7452	Mastoparan-L		IPR013213
sp|P01515|MAST_VESXA	P01515	14	14	0	False	0	0.0	Vespa xanthoptera	7448	Mastoparan-X		IPR013213
sp|P01516|MAST_VESCR	P01516	14	14	0	False	0	0.0	Vespa crabro	7445	Mastoparan-C		IPR013213
sp|P01517|MAST_POLJO	P01517	14	14	0	False	0	0.0	Polistes jokahamae	256662	Mastoparan-J		
sp|P01518|CRBL_VESCR	P01518	13	13	0	False	0	0.0	Vespa crabro	7445	Crabrolin		
sp|P01520|CA12_CONGE	P01520	13	13	0	False	4	4.0	Conus geographus	6491	Alpha-conotoxin GII		IPR018072
sp|P01521|CA1_CONMA	P01521	14	14	0	False	4	4.0	Conus magus	6492	Alpha-conotoxin MI		IPR018072
sp|P04562|BPP1_GLOHA	P04562	11	11	0	False	0	0.0	Gloydius halys	8714	Bradykinin-potentiating peptide 1		
sp|P05487|CONO_CONST	P05487	9	9	0	False	2	2.0	Conus striatus	6493	Conopressin-S		IPR022423
sp|P07493|BOL2_BOMPE	P07493	17	17	0	False	0	0.0	Bombus pensylvanicus	28643	Bombolitin-2		IPR012534
sp|P07494|BOL3_BOMPE	P07494	17	17	0	False	0	0.0	Bombus pensylvanicus	28643	Bombolitin-3		IPR012534
sp|P07495|BOL4_BOMPE	P07495	17	17	0	False	0	0.0	Bombus pensylvanicus	28643	Bombolitin-4		IPR012534
sp|P07496|BOL5_BOMPE	P07496	17	17	0	False	0	0.0	Bombus pensylvanicus	28643	Bombolitin-5		
sp|P0C022|MAST_ANTFM	P0C022	14	14	0	False	0	0.0	Anterhynchium flavomarginatum micado	329991	Eumenine mastoparan-AF		
sp|P0C1H0|ACTP1_ACTEQ	P0C1H0	20	20	0	False	0	0.0	Actinia equina	6106	Equinatoxin-1		
sp|P0C1H1|ACTPP_ACTEQ	P0C1H1	20	20	0	False	0	0.0	Actinia equina	6106	Equinatoxin-1''		
sp|P0C1H2|ACTP3_ACTEQ	P0C1H2	20	20	0	False	0	0.0	Actinia equina	6106	Equinatoxin-3		
sp|P0C1M1|CRBLE_VESMG	P0C1M1	13	13	0	False	0	0.0	Vespa magnifica	202807	Vespid chemotactic peptide 5e		
sp|P0C1M2|CRBLF_VESMG	P0C1M2	13	13	0	False	0	0.0	Vespa magnifica	202807	Vespid chemotactic peptide 5f		
sp|P0C1M3|CRBLG_VESMG	P0C1M3	13	13	0	False	0	0.0	Vespa magnifica	202807	Vespid chemotactic peptide 5g		
sp|P0C1M4|MASTA_VESMG	P0C1M4	14	14	0	False	0	0.0	Vespa magnifica	202807	Mastoparan-like peptide 12a		IPR013213
sp|P0C1M5|MASTB_VESMG	P0C1M5	13	13	0	False	0	0.0	Vespa magnifica	202807	Mastoparan-like peptide 12b		
sp|P0C1M9|M3A_CONMR	P0C1M9	17	17	0	False	6	6.0	Conus marmoreus	42752	Conotoxin mr3a		
sp|P0C1N0|M3B_CONMR	P0C1N0	19	19	0	False	6	6.0	Conus marmoreus	42752	Conotoxin mr3b		
sp|P0C1Q5|MASTP_PROSY	P0C1Q5	14	14	0	False	0	0.0	Protonectarina sylveirae	91438	Protonectarina mastoparan		
sp|P0C1Q9|MAST2_VESVU	P0C1Q9	15	15	0	False	0	0.0	Vespula vulgaris	7454	Mastoparan-V2		
sp|P0C1R1|PROTO_PROSY	P0C1R1	12	12	0	False	0	0.0	Protonectarina sylveirae	91438	Protonectin		
sp|P0C1R7|CA1A_CONOM	P0C1R7	17	17	0	False	4	4.0	Conus omaria	89429	Alpha-conotoxin OmIA		IPR009958,IPR018072
sp|P0C1V7|CA1AB_CONAN	P0C1V7	17	17	0	False	4	4.0	Conus anemone	101285	Alpha-conotoxin AnIB		IPR018072
sp|P0C1V8|CA1C_CONAN	P0C1V8	17	17	0	False	4	4.0	Conus anemone	101285	Alpha-conotoxin-like AnIC		IPR018072
sp|P0C1W1|CA1A_CONMA	P0C1W1	15	15	0	False	4	4.0	Conus magus	6492	Alpha-conotoxin-like MIA		
sp|P0C1W2|CA1B_CONMA	P0C1W2	15	15	0	False	4	4.0	Conus magus	6492	Alpha-conotoxin-like MIB		
sp|P0C1W8|CA4B_CONOB	P0C1W8	19	19	0	False	6	6.0	Conus obscurus	89447	Alpha-conotoxin OIVB		
sp|P0C1W9|CA4A_CONPR	P0C1W9	18	18	0	False	6	6.0	Conus pergrandis	330676	Alpha-conotoxin PeIVA		
sp|P0C1X0|CA4B_CONPR	P0C1X0	18	18	0	False	6	6.0	Conus pergrandis	330676	Alpha-conotoxin PeIVB		
sp|P0C249|COW_CONIN	P0C249	8	8	0	False	2	2.0	Conus inscriptus	257329	Contryphan-In		IPR011062
sp|P0C260|CMAT_CONPO	P0C260	14	14	0	False	0	0.0	Conus planorbis	97183	Conomap-Vt		
sp|P0C2A3|TXBB_ANDCR	P0C2A3	20	20	0	False	1	1.0	Androctonus crassicauda	122909	Toxin b subunit beta		
sp|P0C2F2|CT274_CONMO	P0C2F2	11	11	0	False	4	4.0	Conus monile	351660	Conotoxin Mo1274		
sp|P0C2K5|BX3_LOXGA	P0C2K5	7	7	0	False	0	0.0	Loxosceles gaucho	58216	Dermonecrotic toxin LgSicTox-beta-LOXN3		
sp|P0C2K7|X5_LOXGA	P0C2K7	8	8	0	False	0	0.0	Loxosceles gaucho	58216	Dermonecrotic toxin LgSicTox-LOXN5		
sp|P0C2K8|X6_LOXGA	P0C2K8	7	7	0	False	0	0.0	Loxosceles gaucho	58216	Dermonecrotic toxin LgSicTox-LOXN6		
sp|P0C2K9|BX8_LOXGA	P0C2K9	9	9	0	False	0	0.0	Loxosceles gaucho	58216	Dermonecrotic toxin LgSicTox-beta-LOXN8		
sp|P0C351|CA1B_CONPU	P0C351	16	16	0	False	4	4.0	Conus purpurascens	41690	Alpha-conotoxin PIB		
sp|P0C424|M3C_CONMR	P0C424	16	16	0	False	6	6.0	Conus marmoreus	42752	Conotoxin mr3c		
sp|P0C547|3SOFH_NAJAT	P0C547	21	21	0	False	4	4.0	Naja atra	8656	Cardiotoxin-like basic polypeptide ah		
sp|P0C577|VSPG_BITGA	P0C577	19	19	0	False	2	2.0	Bitis gabonica	8694	Thrombin-like enzyme gabonase		
sp|P0C578|VSP2_OVOOK	P0C578	20	20	0	False	1	1.0	Ovophis okinavensis	8769	Thrombin-like enzyme okinaxobin-2		
sp|P0C590|VSP2_GLOUS	P0C590	19	19	0	False	1	1.0	Gloydius ussuriensis	35671	Thrombin-like enzyme calobin-2		
sp|P0C5G7|MASTD_VESMG	P0C5G7	14	14	0	False	0	0.0	Vespa magnifica	202807	Mastoparan-like peptide 12d		IPR013213
sp|P0C5H4|3SA1_DABRR	P0C5H4	20	20	0	False	2	2.0	Daboia russelii	8707	Cytotoxin drCT-1		
sp|P0C5J6|SCXMT_PARLS	P0C5J6	17	17	0	False	0	0.0	Parabuthus liosoma	470425	Mammal toxin PlMT		
sp|P0C5J7|SCXT_PARLS	P0C5J7	14	14	0	False	1	1.0	Parabuthus liosoma	470425	Insect toxin PlIT		IPR044062
sp|P0C5J8|SXPLT_PARLS	P0C5J8	17	17	0	False	2	2.0	Parabuthus liosoma	470425	Toxin Plt		
sp|P0C5S7|SIXP1_OLIMR	P0C5S7	15	15	0	False	0	0.0	Olivierus martensii	34649	Insect toxin BmK AngP1		
sp|P0C642|CT361_CONVR	P0C642	12	12	0	False	4	4.0	Conus virgo	89427	Conotoxin Vi1361		
sp|P0C7J7|BPP11_BOTAL	P0C7J7	11	11	0	False	0	0.0	Bothrops alternatus	64174	Bradykinin-potentiating peptide 11		
sp|P0C7J8|BPP11_BOTJA	P0C7J8	11	11	0	False	0	0.0	Bothrops jararaca	8724	Bradykinin-potentiating peptide 11		
sp|P0C7J9|BP11A_CROAD	P0C7J9	11	11	0	False	0	0.0	Crotalus adamanteus	8729	Bradykinin-potentiating peptide 11a		
sp|P0C7K0|BP11B_CROAD	P0C7K0	11	11	0	False	0	0.0	Crotalus adamanteus	8729	Bradykinin-potentiating peptide 11b		
sp|P0C7K1|BP11A_CROVV	P0C7K1	11	11	0	False	0	0.0	Crotalus viridis viridis	8742	Bradykinin-potentiating peptide 11a		
sp|P0C7K2|BP11B_CROVV	P0C7K2	11	11	0	False	0	0.0	Crotalus viridis viridis	8742	Bradykinin-potentiating peptide 11b		
sp|P0C7K3|BP11C_CROVV	P0C7K3	11	11	0	False	0	0.0	Crotalus viridis viridis	8742	Bradykinin-potentiating peptide 11c		
sp|P0C7R7|BPPDA_BOTAL	P0C7R7	13	13	0	False	0	0.0	Bothrops alternatus	64174	Bradykinin-potentiating peptide 13a		
sp|P0C7R8|BPPDA_BOTER	P0C7R8	13	13	0	False	0	0.0	Bothrops erythromelas	44710	Bradykinin-potentiating peptide 13a		
sp|P0C7R9|BPPDA_BOTLC	P0C7R9	13	13	0	False	0	0.0	Bothrops leucurus	157295	Bradykinin-potentiating peptide 13a		
sp|P0C7S0|BPPDA_BOTMO	P0C7S0	13	13	0	False	0	0.0	Bothrops moojeni	98334	Bradykinin-potentiating peptide 13a		
sp|P0C7S4|BPP9A_BOTNU	P0C7S4	9	9	0	False	0	0.0	Bothrops neuwiedi	95648	Bradykinin-potentiating peptide 9a		
sp|P0C7S5|BPP11_BOTNU	P0C7S5	11	11	0	False	0	0.0	Bothrops neuwiedi	95648	Bradykinin-potentiating peptide 11		
sp|P0C7S7|BPPF_PROMU	P0C7S7	11	11	0	False	0	0.0	Protobothrops mucrosquamatus	103944	Bradykinin-potentiating peptide TmF		
sp|P0C8B6|STX1_SCOAN	P0C8B6	13	13	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 4511.92 Da toxin		
sp|P0C8B8|STX2_SCOAN	P0C8B8	15	15	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 4722.07 Da toxin		
sp|P0C8B9|STX2_SCOVN	P0C8B9	15	15	0	False	0	0.0	Scolopendra viridicornis nigra	486497	Scolopendra 4767.06 Da toxin		
sp|P0C8C0|STX3A_SCOAN	P0C8C0	19	19	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 5848.46 Da toxin		
sp|P0C8C1|STX3B_SCOAN	P0C8C1	18	18	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 5920.47 Da toxin		
sp|P0C8C3|STX4_SCOAN	P0C8C3	9	9	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 5887.74 Da toxin		
sp|P0C8C4|STX4_SCOVN	P0C8C4	14	14	0	False	0	0.0	Scolopendra viridicornis nigra	486497	Scolopendra 5885.28 Da toxin		
sp|P0C8C5|STX5_SCOAN	P0C8C5	14	14	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 5928.03 Da toxin		
sp|P0C8C6|STX5_SCOVN	P0C8C6	18	18	0	False	0	0.0	Scolopendra viridicornis nigra	486497	Scolopendra 5924.74 Da toxin		
sp|P0C8C7|STX6_SCOAN	P0C8C7	18	18	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 5971.33 Da toxin		
sp|P0C8C8|STX7_SCOVN	P0C8C8	13	13	0	False	0	0.0	Scolopendra viridicornis nigra	486497	Scolopendra 6940.74 Da toxin		
sp|P0C8C9|STX8A_SCOAN	P0C8C9	17	17	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 7913.19 Da toxin		
sp|P0C8D0|STX8B_SCOAN	P0C8D0	10	10	0	False	0	0.0	Scolopendra angulata	486498	Scolopendra 8013.07 Da toxin		
sp|P0C8D1|STX8A_SCOVN	P0C8D1	21	21	0	False	0	0.0	Scolopendra viridicornis nigra	486497	Scolopendra 7997.01 Da toxin		
sp|P0C8D3|STX9_SCOVN	P0C8D3	15	15	0	False	0	0.0	Scolopendra viridicornis nigra	486497	Scolopendra 10564.33 Da toxin		
sp|P0C8D6|VA5A_SCOVN	P0C8D6	13	13	0	False	1	1.0	Scolopendra viridicornis nigra	486497	Scolopendra 20385.85 Da toxin		
sp|P0C8D8|VA5C_SCOVN	P0C8D8	12	12	0	False	1	1.0	Scolopendra viridicornis nigra	486497	Scolopendra 20466.84 Da toxin		
sp|P0C8E0|CKP1_CONPI	P0C8E0	19	19	0	False	0	0.0	Conus parius	505247	Conantokin-Pr1		
sp|P0C8E1|CKP2_CONPI	P0C8E1	19	19	0	False	0	0.0	Conus parius	505247	Conantokin-Pr2		
sp|P0C8E2|CKP3_CONPI	P0C8E2	19	19	0	False	0	0.0	Conus parius	505247	Conantokin-Pr3		IPR005918
sp|P0C8I7|VM3FA_VIPAA	P0C8I7	15	15	0	False	0	0.0	Vipera ammodytes ammodytes	8705	Factor X-activator 1 heavy chain		
sp|P0C8I8|SL2_BITAR	P0C8I8	12	12	0	False	1	1.0	Bitis arietans	8692	Snaclec bitiscetin-2		
sp|P0C8J0|SLA_OPHHA	P0C8J0	20	20	0	False	2	2.0	Ophiophagus hannah	8665	Snaclec ophioluxin subunit alpha		
sp|P0C8J1|SLB_OPHHA	P0C8J1	13	13	0	False	2	2.0	Ophiophagus hannah	8665	Snaclec ophioluxin subunit beta		
sp|P0C8J2|SL1C1_VIPAA	P0C8J2	13	13	0	False	1	1.0	Vipera ammodytes ammodytes	8705	Snaclec factor X-activator 1 light chain 1	LC1	
sp|P0C8J3|SL1C2_VIPAA	P0C8J3	11	11	0	False	0	0.0	Vipera ammodytes ammodytes	8705	Snaclec factor X-activator 1 light chain 2	LC2	
sp|P0C8J4|SL2C1_VIPAA	P0C8J4	19	19	0	False	2	2.0	Vipera ammodytes ammodytes	8705	Snaclec factor X-activator 2 light chain 1		
sp|P0C8J5|SL2C2_VIPAA	P0C8J5	16	16	0	False	3	3.0	Vipera ammodytes ammodytes	8705	Snaclec factor X-activator 2 light chain 2	LC2	
sp|P0C8U3|CA14_CONBR	P0C8U3	13	13	0	False	4	4.0	Conus brunneus	101289	Alpha-conotoxin-like Br1.4		
sp|P0C8U5|CA14_CONMN	P0C8U5	17	17	0	False	4	4.0	Conus monachus	89446	Alpha-conotoxin-like Mn1.4		IPR018072
sp|P0C8V4|CA1A_CONVE	P0C8V4	17	17	0	False	4	4.0	Conus ventricosus	117992	Alpha-conotoxin-like Vn		
sp|P0C8X4|VMP_TITST	P0C8X4	15	15	0	False	3	3.0	Tityus stigmurus	50344	Venom metalloproteinase		
sp|P0C8X7|KAXU0_TITST	P0C8X7	15	15	0	False	4	4.0	Tityus stigmurus	50344	Peptide 2900		
sp|P0C911|SCX_ANDMA	P0C911	16	16	0	False	0	0.0	Androctonus mauritanicus mauritanicus	6860	Alpha-toxin		
sp|P0C931|EUME_EUMRU	P0C931	15	15	0	False	0	0.0	Eumenes rubronotatus	539890	Eumenitin		
sp|P0CAR3|3S1E1_MICPY	P0CAR3	21	21	0	False	2	2.0	Micrurus pyrrhocryptus	129468	Short neurotoxin E1		
sp|P0CAR8|PA2B_BOTJR	P0CAR8	21	21	0	False	0	0.0	Bothrops jararacussu	8726	Basic phospholipase A2 BjIV		
sp|P0CAS1|PA2B6_CRODM	P0CAS1	21	21	0	False	0	0.0	Crotalus durissus cumanensis	184542	Phospholipase A2 crotoxin basic chain		
sp|P0CC11|BENG_DECBE	P0CC11	20	20	0	False	0	0.0	Deccanometrus bengalensis	696368	Bengalin		IPR006146
sp|P0CC16|OXLA_AGKCL	P0CC16	19	19	0	False	0	0.0	Agkistrodon contortrix laticinctus	2782196	L-amino-acid oxidase		
sp|P0CD67|BOL6_BOMLA	P0CD67	19	19	0	False	0	0.0	Bombus lapidarius	30192	Bombolitin-6		
sp|P0CD68|BOL7_BOMLA	P0CD68	19	19	0	False	0	0.0	Bombus lapidarius	30192	Bombolitin-7		
sp|P0CD69|BOL8_BOMLA	P0CD69	19	19	0	False	0	0.0	Bombus lapidarius	30192	Bombolitin-8		
sp|P0CD70|OSM_OSMRU	P0CD70	17	17	0	False	0	0.0	Osmia rufa	1437190	Osmin		
sp|P0CE74|CA12_CONBN	P0CE74	18	18	0	False	4	4.0	Conus bandanus	72279	Alpha-conotoxin-like Bn1.2		IPR009958
sp|P0CE77|CM3B_CONST	P0CE77	20	20	0	False	6	6.0	Conus striatus	6493	Mu-conotoxin SIIIB		
sp|P0CF76|SCX11_OLIMR	P0CF76	15	15	0	False	1	1.0	Olivierus martensii	34649	Toxin BmKNJX11		IPR044062
sp|P0CH15|CM3A_CONPI	P0CH15	15	15	0	False	6	6.0	Conus parius	505247	Conotoxin pr3a		
sp|P0CI05|CA1A_CONTI	P0CI05	16	16	0	False	4	4.0	Conus tinianus	909294	Alpha-conotoxin TiIA		
sp|P0CI06|TEIA_HASHE	P0CI06	16	16	0	False	4	4.0	Hastula hectica	745793	Augerpeptide hhe1a		
sp|P0CI07|TEG1_HASHE	P0CI07	11	11	0	False	4	4.0	Hastula hectica	745793	Augerpeptide hheTx1		
sp|P0CI20|TE9_HASHE	P0CI20	19	19	0	False	4	4.0	Hastula hectica	745793	Augerpeptide hhe9		
sp|P0CI22|CTA48_CONAO	P0CI22	12	12	0	False	4	4.0	Conus araneosus	101286	Chi-conotoxin-like Ar1248		
sp|P0CI23|CTA11_CONAO	P0CI23	11	11	0	False	4	4.0	Conus araneosus	101286	Chi-conotoxin-like Ar1311		
sp|P0CI24|TXM46_CONAO	P0CI24	14	14	0	False	6	6.0	Conus araneosus	101286	Conotoxin Ar1446		
sp|P0CI41|CUG6A_CONCL	P0CI41	13	13	0	False	4	4.0	Californiconus californicus	1736779	Omega-conotoxin Cl16a		
sp|P0CJ33|TXVE1_MACLB	P0CJ33	13	13	0	False	0	0.0	Macrovipera lebetinus	3148341	Snake venom vascular endothelial growth factor toxin IC1		
sp|P0CJ34|BKIP_CROAT	P0CJ34	11	11	0	False	0	0.0	Crotalus atrox	8730	Bradykinin inhibitor peptide		
sp|P0CJ36|EUMER_EUMRB	P0CJ36	15	15	0	False	0	0.0	Eumenes rubrofemoratus	1035770	Eumenitin-R		
sp|P0CJ37|EUMEF_EUMFR	P0CJ37	15	15	0	False	0	0.0	Eumenes fraterculus	1035771	Eumenitin-F		
sp|P0CJ38|MASTE_EUMRB	P0CJ38	14	14	0	False	0	0.0	Eumenes rubrofemoratus	1035770	Eumenine mastoparan-ER		
