Entry	Length	Protein families	Keywords
A0A0B5A7N5	128	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5A7N8	124	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5A7P2	115	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5A8P4	113	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5A8P8	140	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5A8Q2	115	Insulin family	3D-structure;Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5A8Q6	130	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5ABD5	117	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5ABD9	130	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5ABE4	131	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5ABE6	131	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5AC86	113	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5AC90	115	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5AC95	115	Insulin family	3D-structure;Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5AC98	128	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5ADT3	130	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5ADT9	128	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A0B5ADU4	115	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0B5ADV0	127	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0D4WTV1	289	Arthropod phospholipase D family, Class II subfamily	Cytolysis;Dermonecrotic toxin;Disulfide bond;Hemolysis;Lipid degradation;Lipid metabolism;Lyase;Magnesium;Metal-binding;Secreted;Signal;Toxin;Zymogen
A0A0D4WV12	279	Arthropod phospholipase D family, Class II subfamily, Class IIb sub-subfamily	3D-structure;Cytolysis;Dermonecrotic toxin;Disulfide bond;Hemolysis;Lipid degradation;Lipid metabolism;Lyase;Magnesium;Metal-binding;Secreted;Toxin;Zymogen
A0A0F6QDA5	31	Conotoxin O1 superfamily	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A0F7YYV0	123	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A0F7YZI5	135	Glycoprotein hormones subunit beta family	Disulfide bond;Hormone;Secreted;Signal;Toxin
A0A0F7YZQ7	100	Elevenin family	3D-structure;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A0F7Z3J2	144	Glycoprotein hormones subunit alpha family	Direct protein sequencing;Disulfide bond;Hormone;Secreted;Signal;Toxin
A0A0G3F8Z3	79		3D-structure;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Presynaptic neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A0J9X1W9	35	Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A0K1YW63	115	Secapin family	Antibiotic;Antimicrobial;Disulfide bond;Fungicide;Hemostasis impairing toxin;Immunity;Innate immunity;Protease inhibitor;Secreted;Serine protease inhibitor;Signal;Toxin
A0A0K8TU78	58	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Neurotoxin;Secreted;Signal;Toxin
A0A0K8TUE2	81	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Gamma-carboxyglutamic acid;Hydroxylation;Secreted;Signal;Toxin
A0A0N7CSQ4	68	Scoloptoxin-04 family	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A0R4I951	70	Scoloptoxin-03 family	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A0R4I952	37		3D-structure;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
A0A0S4FKT4	238	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade activating toxin;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Ion channel impairing toxin;Potassium channel impairing toxin;Protease;Secreted;Serine protease;Toxin;Voltage-gated potassium channel impairing toxin
A0A0U4AHC3	64	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A0U5AUY6	72	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal;Toxin
A0A125S9D8	85	Conotoxin D superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9D9	83	Conotoxin E superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E0	76	Conotoxin I1 superfamily	Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E1	62	Conotoxin I2 superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E2	70	Conotoxin I2 superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E4	72	Conotoxin K superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E5	70	Conotoxin K superfamily	Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E6	67	Conotoxin M superfamily	Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9E9	91	Conotoxin M superfamily	Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9F0	81	Conotoxin N superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9F2	90	Conotoxin O2 superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A125S9F3	76	Conotoxin O2 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A125S9F6	92	Conotoxin P superfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A125S9F9	124		Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9G0	94		Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9G2	75		Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A125S9G3	74		Cleavage on pair of basic residues;Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A141TBR6	96		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A142C197	69	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Gamma-carboxyglutamic acid;Hydroxylation;Secreted;Signal;Toxin
A0A193CHJ5	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Blood coagulation cascade inhibiting toxin;Calcium;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Ion channel impairing toxin;Lipid degradation;Lipid metabolism;Metal-binding;Neurotoxin;Presynaptic neurotoxin;Secreted;Signal;Toxin
A0A1D0BN92	148		Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0BNA3	109	Neurotoxin 14 (magi-1) family, 07 (Jztx-56) subfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0BND9	123	Venom Kunitz-type family, 02 (native) subfamily	Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Protease inhibitor;Repeat;Secreted;Serine protease inhibitor;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A1D0BPK9	115	Neurotoxin 06 (delta-actx) family	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A1D0BPN8	82		Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0BR67	119	Neurotoxin 03 (Tx2) family, 03 subfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A1D0BR98	122		Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0BRB0	88	Neurotoxin 07 (Beta/delta-agtx) family, 02 (aga-3) subfamily	Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0BRB6	76		Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A1D0BRC1	109		Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0BZF5	120	Neurotoxin 25 family, F7 subfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A1D0BZZ2	112	Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0C027	96	Neurotoxin 27 (Jztx-72) family, ICK-72 subfamily	3D-structure;Amidation;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A1D0C028	110		Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1D0C0W1	132		Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A1E1WVX2	370	Venom metalloproteinase (M12B) family	Direct protein sequencing;Glycoprotein;Hydrolase;Metal-binding;Metalloprotease;Protease;Secreted;Signal;Toxin;Zinc
A0A1I9KNP0	260	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade inhibiting toxin;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Pharmaceutical;Secreted;Serine protease homolog;Signal;Toxin
A0A1L1QJU3	75	Psalmotoxin-1 family, Double-knot toxin subfamily	3D-structure;Disulfide bond;Ion channel impairing toxin;Pharmaceutical;Proton-gated sodium channel impairing toxin;Repeat;Secreted;Toxin
A0A1L2FZD4	57	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 08 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A1L4BJ42	66	Scorpion calcin family	Calcium channel impairing toxin;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Ryanodine-sensitive calcium-release channel impairing toxin;Secreted;Signal;Toxin
A0A1L4BJ98	324	Arthropod phospholipase D family, Class II subfamily	Cytolysis;Dermonecrotic toxin;Disulfide bond;Hemolysis;Lipid degradation;Lipid metabolism;Lyase;Magnesium;Metal-binding;Secreted;Signal;Toxin;Zymogen
A0A1P8NVR4	61	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVR5	63	O2 superfamily, Contryphan family	Amidation;D-amino acid;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVS2	63	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVS3	63	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVS8	63	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVS9	63	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVT3	63	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVU0	60	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1P8NVU1	42	O2 superfamily, Contryphan family	Amidation;D-amino acid;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
A0A1S4NYE8	35	Neurotoxin 10 (Hwtx-1) family	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A1U9VX91	1207		Calcium;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;EGF-like domain;Glycoprotein;Ion channel impairing toxin;Neurotoxin;Presynaptic neurotoxin;Repeat;Secreted;Sushi;Toxin;Voltage-gated calcium channel impairing toxin
A0A1Z0YU59	57	Venom Kunitz-type family	3D-structure;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Toxin
A0A218QWY4	100	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A218QWY8	72	Non-disulfide-bridged peptide (NDBP) superfamily	Bradykinin receptor impairing toxin;G-protein coupled receptor impairing toxin;Hypotensive agent;Phosphoprotein;Secreted;Signal;Toxin
A0A218QWZ7	59	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 04 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A218QWZ8	59	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 04 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A218QX08	90	Long (3 C-C) scorpion toxin superfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A218QX22	59	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 04 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A218QX39	70		Secreted;Signal;Toxin
A0A218QXE6	83		Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A218QXG2	59	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 04 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A218QXT6	65	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 11 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A291NVT7	125	Vasopressin/oxytocin family	Amidation;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Signal;Toxin
A0A2D0TC04	830	Nucleotide pyrophosphatase/phosphodiesterase family	3D-structure;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Metal-binding;Platelet aggregation inhibiting toxin;Repeat;Secreted;Toxin
A0A2D1P890	69	Conotoxin M superfamily	Direct protein sequencing;Gamma-carboxyglutamic acid;Hydroxylation;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A2I4QAG8	74	Conotoxin O1 superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A2I6EDL2	64	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
A0A2I6EDL3	62	Conotoxin M superfamily	Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDL4	52	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
A0A2I6EDL5	53	Conotoxin M superfamily	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Toxin
A0A2I6EDL6	67	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDL7	62	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDM1	56	Conotoxin M superfamily	Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDM2	76	Conotoxin M superfamily	Amidation;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDM5	69	Conotoxin M superfamily	Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDM8	69	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDM9	45	Conotoxin M superfamily	Disulfide bond;Secreted;Toxin
A0A2I6EDN0	57	Conotoxin M superfamily	Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDN1	68	Conotoxin M superfamily	Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDN2	64	Conotoxin M superfamily	Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDN3	59	Conotoxin M superfamily	Disulfide bond;Secreted;Signal;Toxin
A0A2I6EDN5	73	Conotoxin M superfamily	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
A0A2I6EDN8	47	Conotoxin M superfamily	Disulfide bond;Secreted;Toxin
A0A2K8JW87	63		3D-structure;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A2L0ART2	76	Scoloptoxin-15 family	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A2L2P6T1	84	Conotoxin O2 family	Bromination;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A2L2P6T9	82	Conotoxin O1 family	Bromination;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A2P1BRP3	702	SNTX/VTX toxin family	Cytolysis;Disulfide bond;Glycoprotein;Hemolysis;Myotoxin;Neurotoxin;Secreted;Toxin
A0A2P1BRQ0	702	SNTX/VTX toxin family	Cytolysis;Disulfide bond;Glycoprotein;Hemolysis;Hemostasis impairing toxin;Myotoxin;Neurotoxin;Platelet aggregation activating toxin;Secreted;Toxin
