identifier,rhopca_x,rhopca_y,protein_name,organism
sp|P0DQN0|CX69_CONCB,-5.6714302157367946e-08,1.706877676005414e-08,Conotoxin Cca1669,Conus caracteristicus
sp|P0DQZ0|CX1A_CONML,-5.6714313245720405e-08,1.7068775191864116e-08,A-conotoxin cyclic Mila,Conus miliaris
sp|P0DSK1|TX16A_MYRGU,-5.6714306792549074e-08,1.7068771007711092e-08,U-myrmeciitoxin(01)-Mg6a,Myrmecia gulosa
sp|P0DSL0|TX1A_MYRRB,-5.6714310525673994e-08,1.706876329166107e-08,U1-myrmicitoxin-Mr1a,Myrmica rubra
sp|P0DSM3|WTX1A_NEOIV,-5.671430196307892e-08,1.706877297835696e-08,U1-poneritoxin-Ni1a,Neoponera inversa
sp|P0DTB8|SCX38_CENMA,-5.671430429107782e-08,1.70687787376389e-08,Toxin Cm38 (Fragment),Centruroides margaritatus
sp|P0DW31|SCXE_TITPA,-5.671432176321267e-08,1.7068771368533575e-08,Toxin TpF21-Cocle (Fragment),Tityus pachyurus
sp|P0DX50|TX20A_PHOBO,-5.671431119180781e-08,1.706877772456039e-08,Omega-ctenitoxin-Pb1a (Fragment),Phoneutria boliviensis
sp|P0DX51|TX35A_PHOBO,-5.671430833211616e-08,1.706876512352906e-08,GAMMA-ctenitoxin-Pb1a (Fragment),Phoneutria boliviensis
sp|P0DX57|TX2_BUTLE,-5.671432018461431e-08,1.7068771895889512e-08,Toxin Bl-2 (Fragment),Buthacus leptochelys
sp|P0DX58|TX3_BUTLE,-5.671431357878731e-08,1.706877716944888e-08,Toxin Bl-3 (Fragment),Buthacus leptochelys
sp|P0DXW6|TXU45_MEGOP,-5.671430294840185e-08,1.706876810725344e-08,U-megalopygitoxin(4)-Mo5,Megalopyge opercularis
sp|P0DXW9|TXUB_MEGOP,-5.671430762521634e-08,1.7068773949802107e-08,U-megalopygitoxin(11)-Mo28,Megalopyge opercularis
sp|P0DXZ7|TXO1A_HOTFR,-5.671429875730993e-08,1.7068762181438046e-08,Omega-buthitoxin-Hf1a,Hottentotta franzwerneri
sp|P13211|SRTXD_ATREN,-5.671430036713332e-08,1.706876760765308e-08,Sarafotoxin-D,Atractaspis engaddensis
sp|P31010|TX3_PHONI,-5.6714297549942394e-08,1.706876684437475e-08,U7-ctenitoxin-Pn1b (Fragment),Phoneutria nigriventer
sp|P58305|TXGRX_BUNCN,-5.6714300644689075e-08,1.7068778668249962e-08,Granulitoxin (Fragment),Bunodosoma cangicum
sp|P60261|SCX22_TITDI,-5.6714303003913e-08,1.706877171547827e-08,Toxin TdII-2 (Fragment),Tityus discrepans
sp|P60265|SCX9_CENNO,-5.671431896336898e-08,1.706876773255317e-08,Beta-toxin Cn9 (Fragment),Centruroides noxius
sp|P69392|PMTXB_BATMC,-5.671429548215201e-08,1.7068775504114342e-08,Beta-pompilidotoxin,Batozonellus maculifrons
sp|P80163|SRTXB_ATRBI,-5.671430498843666e-08,1.7068769453398858e-08,Bibrotoxin,Atractaspis bibronii
sp|P82428|WTX1F_NEOGO,-5.671429722207966e-08,1.7068773838779805e-08,M-poneritoxin-Ng1f,Neoponera goeldii
sp|P85235|TX36A_CTEON,-5.671429409437323e-08,1.7068777502515786e-08,U11-ctenitoxin-Co1a (Fragment),Ctenus ornatus
sp|P85274|TX90A_CTEON,-5.6714298618532055e-08,1.7068771437922514e-08,U7-ctenitoxin-Co1a (Fragment),Ctenus ornatus
sp|P86117|TX3_OPICY,-5.671430122755616e-08,1.706876590068518e-08,Toxin OcyKTx3 (Fragment),Opisthacanthus cayaporum
sp|P86536|VM3CX_DABRR,-5.671431169140817e-08,1.7068767177441657e-08,Coagulation factor X-activating enzyme heavy chain (Fragment),Daboia russelii
sp|Q7M3P1|TXV1_PHONI,-5.671431049791842e-08,1.7068774837980527e-08,U28-ctenitoxin-Pn1a (Fragment),Phoneutria nigriventer
sp|Q9TWR5|TXV2_PHONI,-5.67143018659344e-08,1.7068775753914522e-08,U27-ctenitoxin-Pn1a (Fragment),Phoneutria nigriventer
