Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A1L4BJ98	reviewed	DTPLD_HEMLE	Dermonecrotic toxin Hl-PLD1 (EC 4.6.1.-) (Phospholipase D) (PLD) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D)		Hemiscorpius lepturus (Scorpion)	324
A0A1L8F5J9	reviewed	NMDZ1_XENLA	Glutamate receptor ionotropic, NMDA 1 (GluN1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	grin1	Xenopus laevis (African clawed frog)	903
A0A1S3PBB7	reviewed	KNG_SALSA	Kininogen [Cleaved into: Bradykinin]	LOC106584303	Salmo salar (Atlantic salmon)	375
A0A1S4EWW7	reviewed	VA1_AEDAE	Venom allergen-1 (AaVA-1)	AAEL000793	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	255
A0A1S4F020	reviewed	CBPB1_AEDAE	Carboxypeptidase B1 (AaCPB-I) (CPBAe1) (EC 3.4.17.2)	CPB1 CPB-I	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	412
A0A1S4F0I0	reviewed	AGBR1_AEDAE	Bacteria-responsive protein 1 (AgBR1)		Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	441
A0A1S4GGP7	reviewed	CADH1_ANOGA	Cadherin-AgCad1 (AgCad1) (Bacillus toxin-receptor 3) (BT-R3) (Cadherin G protein-coupled receptor) (Cadherin GPCR)	Cad1 bt-r3 AGAP002828	Anopheles gambiae (African malaria mosquito)	1735
A0A1S4GMJ4	reviewed	CLC9_ANOGA	CLIP domain-containing serine protease C9 (EC 3.4.21.-) [Cleaved into: CLIP domain-containing serine protease C9 subunit p12; CLIP domain-containing serine protease C9 subunit p30]	CLIPC9 AGAP004719	Anopheles gambiae (African malaria mosquito)	356
A0A1S4H5M5	reviewed	CLA28_ANOGA	Inactive CLIP domain-containing serine protease A28 [Cleaved into: Inactive CLIP domain-containing serine protease A28 light chain; Inactive CLIP domain-containing serine protease A28 heavy chain]	CLIPA28 AGAP010730	Anopheles gambiae (African malaria mosquito)	376
A0A1S4H5S2	reviewed	CLA8_ANOGA	Inactive CLIP domain-containing serine protease A8 [Cleaved into: Inactive CLIP domain-containing serine protease A8 light chain; Inactive CLIP domain-containing serine protease A8 heavy chain]	CLIPA8 AGAP010731	Anopheles gambiae (African malaria mosquito)	363
A0A1S4HE51	reviewed	CLA30_ANOGA	Inactive CLIP domain-containing serine protease A30 (Inactive CLIP domain-containing serine protease SPCLIP1)	SPCLIP1 CLIPA30 AGAP028725	Anopheles gambiae (African malaria mosquito)	416
A0A1Z2R986	reviewed	EGLN_DANRE	Endoglin	eng	Danio rerio (Zebrafish) (Brachydanio rerio)	559
A0A2H4Z8F4	reviewed	HYAL_BOTAT	Hyaluronidase-Ba (Hyal-Ba) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor)		Bothrops atrox (Barba amarilla) (Fer-de-lance)	449
A0A2K5EJU6	reviewed	APOA1_AOTNA	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	APOA1	Aotus nancymaae (Ma's night monkey)	265
A0A2K5QCI5	reviewed	APOA1_CEBIM	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	APOA1	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	267
A0A2K6TRM6	reviewed	APOA1_SAIBB	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	APOA1	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	266
A0A2L0ART2	reviewed	TXF1A_SCOMU	Mu-scoloptoxin(15)-Ssm1a (Mu-SLPTX(15)-Ssm1a) (Potassium channel toxin SsTx) (Ssm spooky toxin)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	76
A0A2L2DDD0	reviewed	FIG02_BOARA	Figainin 2 (Br22)		Boana raniceps (Chaco tree frog) (Hyla roeschmanni)	84
A0A2L2DDE6	reviewed	FIG01_BOARA	Figainin 1 (Br24)		Boana raniceps (Chaco tree frog) (Hyla roeschmanni)	68
A0A2R8QF68	reviewed	GRIK2_DANRE	Glutamate receptor ionotropic, kainate 2 (GluK2)	grik2	Danio rerio (Zebrafish) (Brachydanio rerio)	908
A0A2U8QPE6	reviewed	OXLA_MICMP	L-amino acid oxidase (LAO) (MipLAAO1) (EC 1.4.3.2)		Micrurus mipartitus (Red-tailed coral snake)	501
A0A2Y9GHM3	reviewed	APOE_NEOSC	Apolipoprotein E (Apo-E)	APOE	Neomonachus schauinslandi (Hawaiian monk seal) (Monachus schauinslandi)	330
A0A2Z5Z9X0	reviewed	ACT1_CRIJA	Deep-sea actinoporin Cjtox I (DELTA-actitoxin-Cja1a) (DELTA-AITX-Cja1a)		Cribrinopsis japonica (Deep-sea anemone)	220
A0A383ZFX3	reviewed	ASAH1_BALAS	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	ASAH1	Balaenoptera acutorostrata scammoni (North Pacific minke whale) (Balaenoptera davidsoni)	395
A0A384E129	reviewed	O16A_CONMB	Omega-conotoxin MoVIA [Cleaved into: Omega-conotoxin MoVIB]		Conus moncuri (Sea snail)	76
A0A411EZW9	reviewed	PA21_AGKPL	Acidic phospholipase A2 AplTX-I (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	138
A0A452E9Y6	reviewed	PERL_CAPHI	Lactoperoxidase (LPO) (EC 1.11.1.7)	LPO	Capra hircus (Goat)	712
A0A5C2A2T2	reviewed	COP1_CONPU	Conodipine-P1 (Cdpi-P1) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P1 alpha subunit; Conodipine-P1 beta subunit]		Conus purpurascens (Purple cone)	178
A0A6B7FMR5	reviewed	VMMP3_VIPAA	Disintegrin-like/cysteine-rich protein MPIII-3 (D'C protein MPIII-3) (Metalloproteinase-like protein of class P-III MPIII-3) (Snake venom metalloproteinase precursor-derived protein MPIII-3) (SVMP precursor-derived protein MPIII-3) (Snake venom metalloproteinase-like) (SVMP-like) (Vaa-MPIII-3) (VaaMPIII-3)		Vipera ammodytes ammodytes (Western sand viper)	324
A0A6I8TCE0	reviewed	PTP1_AEDAE	Putative receptor-type tyrosine-protein phosphatase mosPTP-1 (mosPTP-1) (EC 3.1.3.48)		Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	1309
A0A6P3CW73	reviewed	CYCTI_TITOB	Cyclotide trypsin inhibitor TopI1		Tityus obscurus (Amazonian scorpion) (Tityus cambridgei)	58
A0A6P6DKR7	reviewed	APOE_OCTDE	Apolipoprotein E (Apo-E)	APOE	Octodon degus (Degu) (Sciurus degus)	299
A0A7G6KN55	reviewed	DFB13_CROPO	Beta-defensin 13 (CpoBD13)	BD13	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	61
A0A7M6UMR7	reviewed	HEX11_APIME	Hexamerin 110 (High Glx storage protein)	Hex110 551648	Apis mellifera (Honeybee)	1010
A0A8B7DWS6	reviewed	ACTL1_HYDVU	Hydra actinoporin-like toxin 1 (HALT-1) (Alpha-pore-forming toxin) (alpha-PFT) (DELTA-hydritoxin-Hma1a) (DELTA-HYTX-Hma1a)		Hydra vulgaris (Hydra) (Hydra attenuata)	186
A0A8I3P7X4	reviewed	CCD47_CANLF	PAT complex subunit CCDC47 (Coiled-coil domain-containing protein 47)	CCDC47	Canis lupus familiaris (Dog) (Canis familiaris)	483
A0A8M9PDM1	reviewed	SACA6_DANRE	Sperm acrosome membrane-associated protein 6	spaca6	Danio rerio (Zebrafish) (Brachydanio rerio)	317
A0A8M9PFP2	reviewed	CSTN3_DANRE	Calsyntenin-3	clstn3	Danio rerio (Zebrafish) (Brachydanio rerio)	956
A0A8U0WQF3	reviewed	HEX7A_APIME	Hexamerin 70a (Arylphorin Hex70a)	Hex70a GB30362 hex71	Apis mellifera (Honeybee)	684
A0AAQ4VMX2	reviewed	CO4A_MOUSE	Complement C4-A (Sex-limited protein) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; Complement C4b-A; Complement C4 gamma chain]	C4a Slp	Mus musculus (Mouse)	1734
A0JPN2	reviewed	S39A4_RAT	Zinc transporter ZIP4 (Solute carrier family 39 member 4) (Zrt- and Irt-like protein 4) (ZIP-4)	Slc39a4 Zip4	Rattus norvegicus (Rat)	657
A0M8R7	reviewed	MET_PAPAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Papio anubis (Olive baboon)	1381
A0M8S8	reviewed	MET_FELCA	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Felis catus (Cat) (Felis silvestris catus)	1382
A0MLS4	reviewed	GHRL_PAPHA	Appetite-regulating hormone (Growth hormone secretagogue) (Growth hormone-releasing peptide) (Motilin-related peptide) [Cleaved into: Ghrelin; Obestatin]	GHRL	Papio hamadryas (Hamadryas baboon)	117
A0MSJ1	reviewed	CRA1B_DANRE	Collagen alpha-1(XXVII) chain B	col27a1b col27a1	Danio rerio (Zebrafish) (Brachydanio rerio)	1658
A0S864	reviewed	3NBA_BOIIR	Irditoxin subunit A (IrTxA)		Boiga irregularis (Brown tree snake) (Coluber irregularis)	109
A0S865	reviewed	3NBB_BOIIR	Irditoxin subunit B (IrTxB)		Boiga irregularis (Brown tree snake) (Coluber irregularis)	111
A1A4K5	reviewed	ENPP2_BOVIN	Autotaxin (EC 3.1.4.39) (EC 3.1.4.4) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 2) (E-NPP 2) (Extracellular lysophospholipase D) (LysoPLD)	ENPP2	Bos taurus (Bovine)	888
A1A547	reviewed	PGRP3_MOUSE	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	Pglyrp3 Gm420 Pgrpia	Mus musculus (Mouse)	347
A1C2U6	reviewed	GDF8_MACMU	Growth/differentiation factor 8 (GDF-8) (Myostatin)	MSTN GDF8	Macaca mulatta (Rhesus macaque)	375
A1E959	reviewed	ODAM_HUMAN	Odontogenic ameloblast-associated protein (Apin)	ODAM APIN	Homo sapiens (Human)	279
A1E960	reviewed	ODAM_MOUSE	Odontogenic ameloblast-associated protein (Apin)	Odam Apin	Mus musculus (Mouse)	273
A1KXC4	reviewed	FCMR_MOUSE	Immunoglobulin mu Fc receptor (IgM FcR) (Fas apoptotic inhibitory molecule 3) (FAIM3) (Regulator of Fas-induced apoptosis Toso)	Fcmr Faim3 Toso	Mus musculus (Mouse)	422
A1KZ92	reviewed	PXDNL_HUMAN	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)	PXDNL VPO2	Homo sapiens (Human)	1463
A1L1V4	reviewed	LOL2B_DANRE	Lysyl oxidase homolog 2B (EC 1.4.3.13) (Lysyl oxidase-like protein 2B)	loxl2b si:dkeyp-32b1.1 zgc:158414	Danio rerio (Zebrafish) (Brachydanio rerio)	762
A1L314	reviewed	MPEG1_MOUSE	Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) (PFN2) (mPFN2) (Protein MPS1) [Cleaved into: Macrophage-expressed gene 1 protein, processed form]	Mpeg1	Mus musculus (Mouse)	713
A1L3G9	reviewed	NMP1B_XENLA	Nuclear envelope integral membrane protein 1b	nemp1b tmem194a-b	Xenopus laevis (African clawed frog)	434
A1L4H1	reviewed	SRCRL_HUMAN	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)	SSC5D	Homo sapiens (Human)	1573
A1X150	reviewed	MET_ECHTE	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Echinops telfairi (Lesser hedgehog tenrec)	1380
A1XQX0	reviewed	NR1AA_DANRE	Neurexin-1a (Neurexin Ia-alpha) (Neurexin-1a-alpha)	nrxn1a	Danio rerio (Zebrafish) (Brachydanio rerio)	1491
A1XQX2	reviewed	NR1BA_DANRE	Neurexin-1b (Neurexin Ib-alpha) (Neurexin-1b-alpha)	nrxn1b	Danio rerio (Zebrafish) (Brachydanio rerio)	1470
A1XQX8	reviewed	NR3AA_DANRE	Neurexin-3a (Neurexin IIIa-alpha) (Neurexin-3a-alpha)	nrxn3a	Danio rerio (Zebrafish) (Brachydanio rerio)	1697
A1XQY1	reviewed	NR3BA_DANRE	Neurexin-3b (Neurexin IIIb-alpha) (Neurexin-3b-alpha)	nrxn3b	Danio rerio (Zebrafish) (Brachydanio rerio)	1686
A1XRN2	reviewed	PLIA_METNM	Phospholipase A2 inhibitor anMIP (alpha-PLI) (Myotoxic phospholipase A2 inhibitory protein) (MIP)		Metlapilcoatlus nummifer (Mexican jumping pitviper) (Atropoides nummifer)	166
A1Z0M0	reviewed	HEPC_LARCR	Hepcidin	hamp	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	85
A1Z6H7	reviewed	PO210_DROME	Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Glycoprotein 210 kDa) (Nuclear pore membrane glycoprotein gp188) (Nucleoporin Nup210) (Nup210)	Gp210 Gp188 lyadi CG7897	Drosophila melanogaster (Fruit fly)	1876
A1Z7L8	reviewed	TGFR1_DROME	Receptor protein serine/threonine kinase babo (EC 2.7.11.30) (Protein baboon)	babo Atr-1 Atr-I CG8224	Drosophila melanogaster (Fruit fly)	622
A1Z877	reviewed	NDG_DROME	Nidogen (Entactin)	Ndg CG12908	Drosophila melanogaster (Fruit fly)	1350
A2A6C4	reviewed	SPP2C_MOUSE	Signal peptide peptidase-like 2C (SPP-like 2C) (SPPL2c) (EC 3.4.23.-) (Intramembrane protease 5) (IMP-5)	Sppl2c Imp5	Mus musculus (Mouse)	690
A2A863	reviewed	ITB4_MOUSE	Integrin beta-4 (CD antigen CD104)	Itgb4	Mus musculus (Mouse)	1818
A2A8L5	reviewed	PTPRF_MOUSE	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	Ptprf Lar	Mus musculus (Mouse)	1898
A2A974	reviewed	CP4CB_MOUSE	Cytochrome P450 4A12B (EC 1.14.14.1)	Cyp4a12b	Mus musculus (Mouse)	508
A2AFS3	reviewed	ELAP1_MOUSE	Endosome/lysosome-associated apoptosis and autophagy regulator 1	Elapor1 Kiaa1324	Mus musculus (Mouse)	1009
A2AIR5	reviewed	NMD3A_MOUSE	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)	Grin3a Kiaa1973	Mus musculus (Mouse)	1135
A2AJ76	reviewed	HMCN2_MOUSE	Hemicentin-2	Hmcn2	Mus musculus (Mouse)	5100
A2AJB7	reviewed	LCN5_MOUSE	Epididymal-specific lipocalin-5 (Epididymal retinoic acid-binding protein) (E-RABP) (mE-RABP) (Epididymal secretory protein 10) (MEP 10) [Cleaved into: Epididymal-specific lipocalin-5, major form; Epididymal-specific lipocalin-5, minor form]	Lcn5 Mep10	Mus musculus (Mouse)	192
A2AJX4	reviewed	MALR1_MOUSE	MAM and LDL-receptor class A domain-containing protein 1	Malrd1 Diet1 Gm13318	Mus musculus (Mouse)	2123
A2AQ92	reviewed	DUOX1_MOUSE	Dual oxidase 1 (EC 1.-.-.-) (EC 1.11.1.-) (EC 1.6.3.1)	Duox1	Mus musculus (Mouse)	1551
A2AR95	reviewed	LRAD3_MOUSE	Low-density lipoprotein receptor class A domain-containing protein 3	Ldlrad3	Mus musculus (Mouse)	345
A2ARA8	reviewed	ITA8_MOUSE	Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain]	Itga8	Mus musculus (Mouse)	1062
A2ARI4	reviewed	LGR4_MOUSE	Leucine-rich repeat-containing G protein-coupled receptor 4 (G protein-coupled receptor 48)	Lgr4 Gpr48	Mus musculus (Mouse)	951
A2ARV4	reviewed	LRP2_MOUSE	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	Lrp2	Mus musculus (Mouse)	4660
A2AVA0	reviewed	SVEP1_MOUSE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	Svep1	Mus musculus (Mouse)	3567
A2AX52	reviewed	CO6A4_MOUSE	Collagen alpha-4(VI) chain	Col6a4 Dvwa	Mus musculus (Mouse)	2309
A2D4U1	reviewed	OSTCN_ATEGE	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	BGLAP	Ateles geoffroyi (Black-handed spider monkey) (Geoffroy's spider monkey)	100
A2D670	reviewed	OSTCN_MACMU	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	BGLAP	Macaca mulatta (Rhesus macaque)	100
A2RUV0	reviewed	NOTC1_XENTR	Neurogenic locus notch homolog protein 1 (Notch 1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	notch1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2522
A2RUV9	reviewed	AEBP1_RAT	Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein)	Aebp1 Aclp	Rattus norvegicus (Rat)	1128
A2T6K4	reviewed	OSTCN_MACNE	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	BGLAP	Macaca nemestrina (Pig-tailed macaque)	100
A2TGX5	reviewed	CLM8_RAT	CMRF35-like molecule 8 (CLM-8) (CD300 antigen-like family member A) (CD antigen CD300a)	Cd300a	Rattus norvegicus (Rat)	310
A2VBC4	reviewed	PA1_POLPI	Phospholipase A1 (PLA1) (EC 3.1.1.32) (allergen Poly p 1)		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	322
A2VDJ0	reviewed	T131L_HUMAN	Transmembrane protein 131-like	TMEM131L KIAA0922	Homo sapiens (Human)	1609
A2VEC9	reviewed	SSPO_HUMAN	SCO-spondin (SCO-spondin pseudogene)	SSPOP KIAA2036 SSPO	Homo sapiens (Human)	5150
A3FBE9	reviewed	IL6_MUSPF	Interleukin-6 (IL-6)	IL6	Mustela putorius furo (European domestic ferret) (Mustela furo)	210
A3FMN3	reviewed	SAL2A_GLOMM	Salivary protein Tsal2A (Tsal2 form A) (EC 3.1.-.-)	Tsal2a	Glossina morsitans morsitans (Savannah tsetse fly)	388
A3KPA0	reviewed	JAM3B_DANRE	Junctional adhesion molecule 3B (Jam3b) (Junctional adhesion molecule C) (JAM-C)	jam3b jamc	Danio rerio (Zebrafish) (Brachydanio rerio)	302
A3QM97	reviewed	CNNM1_CAEEL	Metal transporter cnnm-1 (CNNM family homolog 1)	cnnm-1 C52D10.12	Caenorhabditis elegans	811
A3R0T9	reviewed	VM3_OPHHA	Zinc metalloproteinase-disintegrin-like ohagin (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP)		Ophiophagus hannah (King cobra) (Naja hannah)	611
A3RFZ7	reviewed	FCG3A_MACMU	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcgammaRIIIa) (CD antigen CD16a)	FCGR3A FCGR3	Macaca mulatta (Rhesus macaque)	254
A3RL54	reviewed	SL9C1_STRPU	Sperm-specific sodium:proton exchanger (Solute carrier family 9 member C1) (Voltage-gated Na(+)/H(+) exchanger)	SLC9C1	Strongylocentrotus purpuratus (Purple sea urchin)	1325
A4D0S4	reviewed	LAMB4_HUMAN	Laminin subunit beta-4 (Laminin beta-1-related protein)	LAMB4	Homo sapiens (Human)	1761
