Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A163UT06	reviewed	SET17_CAEEL	Histone-lysine N-methyltransferase set-17 (EC 2.1.1.-) (EC 2.1.1.364) (SET domain-containing protein 17)	set-17 T21B10.5	Caenorhabditis elegans	277
A0A193KX02	reviewed	TOMT_DANRE	Transmembrane O-methyltransferase homolog (EC 2.1.1.6) (Protein mercury)	tomt mrc	Danio rerio (Zebrafish) (Brachydanio rerio)	259
A0A1B0GQX2	reviewed	TUNAR_MOUSE	Protein TUNAR (pTUNAR) (Beta cell and neural cell-regulin) (BNLN) (Tcl1 upstream neural differentiation-associated RNA)	Tunar	Mus musculus (Mouse)	48
A0A1B0GR13	reviewed	CYLC1_MOUSE	Cylicin-1 (Cylicin I)	Cylc1	Mus musculus (Mouse)	642
A0A1C3NSL9	reviewed	AJM1_CAEEL	Apical junction molecule ajm-1 (jam-1)	ajm-1 C25A11.4 CELE_C25A11.4	Caenorhabditis elegans	1644
A0A1D5NS60	reviewed	ZN16L_DANRE	Zinc finger protein 16-like (Zinc finger protein 697-like)	znf16l znf697l si:ch211-108m2.2	Danio rerio (Zebrafish) (Brachydanio rerio)	528
A0A1D5PPP7	reviewed	CASP6_CHICK	Caspase-6 (CASP-6) (EC 3.4.22.59) [Cleaved into: Caspase-6 subunit p18; Caspase-6 subunit p11]	CASP6	Gallus gallus (Chicken)	304
A0A1D5PRR9	reviewed	FANCM_CHICK	Fanconi anemia group M protein (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM) (Fanconi anemia-associated polypeptide of 250 kDa) (FAAP250) (Protein Hef ortholog)	FANCM	Gallus gallus (Chicken)	2041
A0A1D5PXA5	reviewed	TRPV4_CHICK	Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Vanilloid receptor-related osmotically activated channel) (VR-OAC)	TRPV4	Gallus gallus (Chicken)	852
A0A1D9BZF0	reviewed	GCNA_MOUSE	Germ cell nuclear acidic protein (Acidic repeat-containing protein) (Germ cell nuclear antigen)	Gcna	Mus musculus (Mouse)	507
A0A1F4	reviewed	EYS_DROME	Protein eyes shut (Protein spacemaker)	eys spam CG33955	Drosophila melanogaster (Fruit fly)	2176
A0A1J1DL12	reviewed	RIDA_DERFA	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Allergen Der f 34) (Enamine/imine deaminase) (allergen Der f 34.0101)	MAG133	Dermatophagoides farinae (American house dust mite)	128
A0A1L5YRA2	reviewed	TPIS_SCYPA	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Allergen Scy p 8) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Scy p 8.0101)		Scylla paramamosain (Mud crab)	248
A0A1L7NVA6	reviewed	MOCS1_BOMMO	Molybdenum cofactor biosynthesis protein 1 (BmMOCS1) [Includes: GTP 3',8-cyclase (EC 4.1.99.22) (MOCS1A) (Molybdenum cofactor biosynthesis protein A); Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (MOCS1B) (Molybdenum cofactor biosynthesis protein C)]	MOCS1	Bombyx mori (Silk moth)	637
A0A1L8FDW4	reviewed	PEX5_XENLA	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5)	pex5.S	Xenopus laevis (African clawed frog)	619
A0A1L8G2K9	reviewed	SPRTN_XENLA	DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (Protein with SprT-like domain at the N terminus) (Spartan)	sprtn XELAEV_18029135mg	Xenopus laevis (African clawed frog)	565
A0A1L8GSA2	reviewed	TET3A_XENLA	Methylcytosine dioxygenase tet3-A (EC 1.14.11.80)	tet3-a XELAEV_18020377mg	Xenopus laevis (African clawed frog)	1925
A0A1L8GVF0	reviewed	RA50S_XENLA	DNA repair protein RAD50.S (EC 3.6.-.-)	rad50.S	Xenopus laevis (African clawed frog)	1311
A0A1L8GXM0	reviewed	RA50L_XENLA	DNA repair protein RAD50.L (EC 3.6.-.-)	rad50.L	Xenopus laevis (African clawed frog)	1312
A0A1L8HU22	reviewed	NEIL3_XENLA	Endonuclease 8-like 3 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil3) (Endonuclease VIII-like 3) (Nei-like protein 3)	neil3 XELAEV_18005394mg	Xenopus laevis (African clawed frog)	616
A0A1L8HV70	reviewed	DCK1_XENLA	Deoxycytidine kinase 1 (XldCK) (EC 2.7.1.74) (Deoxyadenosine kinase 1) (EC 2.7.1.76) (Deoxyguanosine kinase 1) (EC 2.7.1.113)	dck.1.L dck XELAEV_18005792mg	Xenopus laevis (African clawed frog)	265
A0A1S4FPC9	reviewed	SGS1_AEDAE	Salivary gland surface protein 1 (SGS1) (aaSGS1) (Tox-SGS domain-containing protein)		Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	3364
A0A1S6M251	reviewed	B4GT5_PIG	Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)	B4GALT5	Sus scrofa (Pig)	388
A0A1U8CC89	reviewed	FAD1_MESAU	Bifunctional FAD diphosphatase/FAD synthase [Includes: FAD diphosphatase (EC 3.6.1.18) (EC 3.6.1.22) (FAD pyrophosphatase) (FADPPase) (FADHy) (NADH diphosphatase); FAD synthase (FADSy) (EC 2.7.7.2) (FMN adenylyltransferase) (FMNAT) (Flavin adenine dinucleotide synthase)]	FLAD1	Mesocricetus auratus (Golden hamster)	490
A0A1W2P872	reviewed	NOVA2_MOUSE	RNA-binding protein Nova-2	Nova2	Mus musculus (Mouse)	492
A0A1Z0YU59	reviewed	MAMB1_DENAN	Mambaquaretin-1 (MQ-1) (MQ1) (Upsilon-Da2a)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	57
A0A250YGJ5	reviewed	SIR6_CASCN	NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	SIRT6	Castor canadensis (American beaver)	355
A0A286Y9D1	reviewed	PHF14_DANRE	PHD finger protein 14	phf14	Danio rerio (Zebrafish) (Brachydanio rerio)	914
A0A287B8J2	reviewed	DCTN1_PIG	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (p150-glued)	DCTN1	Sus scrofa (Pig)	1281
A0A291NUG3	reviewed	STING_PTEPA	Stimulator of interferon genes protein (STING)	STING1 STING	Pteronotus parnellii (Parnell's mustached bat)	379
A0A291NUI4	reviewed	STING_RHIFE	Stimulator of interferon genes protein (STING)	STING1 STING	Rhinolophus ferrumequinum (Greater horseshoe bat)	378
A0A291NUI5	reviewed	STING_EIDHE	Stimulator of interferon genes protein (STING)	STING1 STING	Eidolon helvum (Straw-colored fruit bat)	379
A0A2C9JXL4	reviewed	C1GLT_BIOGL	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Glycoprotein-N-acetylgalactosamine beta-1,3-galactosyltransferase) (Beta-1,3-galactosyltransferase) (T-synthase)		Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	388
A0A2D0TC04	reviewed	PDE_NAJAT	Venom phosphodiesterase (PDE) (EC 3.6.1.-)		Naja atra (Chinese cobra)	830
A0A2K5TU92	reviewed	SIR6_MACFA	NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	SIRT6	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	355
A0A2R8Q1W5	reviewed	KEP1B_DANRE	Kelch-like ECH-associated protein 1B	keap1b	Danio rerio (Zebrafish) (Brachydanio rerio)	587
A0A2R8QCI3	reviewed	DAPLE_DANRE	Protein Daple (Coiled-coil domain-containing protein 88C)	ccdc88c	Danio rerio (Zebrafish) (Brachydanio rerio)	2023
A0A2R8VJU7	reviewed	SEP12_MOUSE	Septin 12	Septin12 Sept12	Mus musculus (Mouse)	357
A0A2R8Y7D0	reviewed	TINCR_HUMAN	Ubiquitin domain-containing protein TINCR (Placenta-specific protein 2) (Terminal differentiation-induced cornification regulator) (pTINCR microprotein)	TINCR LINC00036 NCRNA00036 PLAC2	Homo sapiens (Human)	87
A0A2R9YJI3	reviewed	GPR22_DANRE	G protein-coupled receptor 22	gpr22a	Danio rerio (Zebrafish) (Brachydanio rerio)	460
A0A386CAB9	reviewed	NLRP1_DANRE	NACHT, LRR and PYD domains-containing protein 1 homolog (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1, C-terminus (NLRP1-CT); NACHT, LRR and PYD domains-containing protein 1, N-terminus (NLRP1-NT)]	nlrp1 si:ch211-66k16.28	Danio rerio (Zebrafish) (Brachydanio rerio)	1355
A0A3F2YLV2	reviewed	PRVB_MUSGR	Parvalbumin beta (Beta-parvalbumin) (Beta-PV) (Parvalbumin SPV-II)		Mustelus griseus (Spotless smooth-hound)	107
A0A3L7I2I8	reviewed	PLPL9_CRIGR	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (PLA2G6) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)	PLA2G6 PLPLA9	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	807
A0A3Q0KDV9	reviewed	SEP10_SCHMA	Septin-10 (SmSEPT10)	SEPT10 Smp_029890	Schistosoma mansoni (Blood fluke)	412
A0A3Q0KGQ7	reviewed	KAD2_SCHMA	Adenylate kinase 2 (ADK2) (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (SmADK2)	Smp_061940	Schistosoma mansoni (Blood fluke)	239
A0A3Q0KJ78	reviewed	NDK_SCHMA	Nucleoside diphosphate kinase (NDK) (NDP kinase) (NDPK) (EC 2.7.4.6) (SmNDPK)	Smp_092750	Schistosoma mansoni (Blood fluke)	143
A0A3Q0KQY7	reviewed	FUMC_SCHMA	Fumarate hydratase (Fumarase) (EC 4.2.1.2) (Class II fumarase) (SmFHII)	Smp_158240	Schistosoma mansoni (Blood fluke)	488
A0A3Q0KR05	reviewed	NPRS_SCHMA	Beta-alanyl-bioamine nonribosomal peptide synthetase (EC 6.3.2.-) (Nonribosomal peptide synthetase) (SmNRPS)	NRPS Smp_158480	Schistosoma mansoni (Blood fluke)	1227
A0A3Q2TTB3	reviewed	PRIPO_CHICK	DNA-directed primase/polymerase protein (EC 2.7.7.102) (EC 2.7.7.7)	PRIMPOL	Gallus gallus (Chicken)	574
A0A452G813	reviewed	TM63A_CAPHI	Mechanosensitive cation channel TMEM63A (Transmembrane protein 63A)	TMEM63A	Capra hircus (Goat)	803
A0A486WWJ9	reviewed	SOMI1_CAEEL	Zinc finger protein somi-1 (Suppressor of overexpressed micro-RNA protein 1)	somi-1 M04G12.4	Caenorhabditis elegans	582
A0A494BA31	reviewed	B3A4_MOUSE	Anion exchange protein 4 (AE 4) (Anion exchanger 4) (Solute carrier family 4 member 9)	Slc4a9 AE4	Mus musculus (Mouse)	952
A0A4V8GZX0	reviewed	TXNA1_OMOSC	Mu-theraphotoxin-Os1a (Mu-TRTX-Os1a) (Cyriotoxin-1a) (CyrTx-1a) (Mu-theraphotoxin-Cs1a)		Omothymus schioedtei (Malaysian earth tiger tarantula) (Cyriopagopus schioedtei)	33
A0A4X1UM84	reviewed	PCKGC_PIG	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)	PCK1 PEPCK1	Sus scrofa (Pig)	622
A0A4Z3	reviewed	A3LT2_RAT	Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)	A3galt2	Rattus norvegicus (Rat)	339
A0A571BEE2	reviewed	CYLC2_MOUSE	Cylicin-2 (Cylicin II)	Cylc2	Mus musculus (Mouse)	422
